DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2008,ES,16092,ES61,1,105,1,955.38661,1,3,1
2008,ES,16095,ES70,1,1413,1,849.27010,1,2,1
2008,ES,16097,ES61,1,647,1,2366.18525,1,2,1
2008,ES,16101,ES43,1,144,1,720.60033,1,3,1
2008,ES,16116,ES22,1,1236,1,390.99215,1,1,1
2008,ES,16118,ES13,1,1557,1,796.68304,1,1,1
2008,ES,16121,ES62,1,1147,1,2863.75194,1,3,1
2008,ES,16124,ES53,1,178,1,688.35052,1,2,1
2008,ES,16127,ES51,1,334,1,1363.25682,1,1,1
2008,ES,16128,ES22,1,1204,1,1009.89210,1,3,1
2008,ES,16131,ES30,1,1014,1,1610.08134,1,1,1
2008,ES,16141,ES43,1,455,1,757.82035,1,3,1
2008,ES,16147,ES22,1,1221,1,116.85422,1,1,1
2008,ES,16148,ES61,1,541,1,1626.75794,1,3,1
2008,ES,16149,ES41,1,1583,1,593.07085,1,3,1
2008,ES,16152,ES63,1,1979,1,285.36518,1,1,1
2008,ES,16156,ES30,1,1023,1,2875.69035,1,1,1
2008,ES,16157,ES11,1,564,1,1221.74855,1,2,1
2008,ES,16165,ES61,1,1604,1,978.48074,1,3,1
2008,ES,16176,ES61,1,1090,1,851.16027,1,1,1
2008,ES,16182,ES70,1,1504,1,1561.22724,1,2,1
2008,ES,16183,ES12,1,1287,1,2782.33988,1,2,1
2008,ES,16186,ES42,1,625,1,1000.76273,1,3,1
2008,ES,16188,ES41,1,1584,1,699.94340,1,3,1
2008,ES,16189,ES61,1,1613,1,768.27120,1,2,1
2008,ES,16190,ES41,1,1891,1,699.61428,1,3,1
2008,ES,16192,ES41,1,1463,1,667.58455,1,3,1
2008,ES,16193,ES51,1,639,1,3039.45288,1,2,1
2008,ES,16207,ES51,1,408,1,4338.81046,1,3,1
2008,ES,16208,ES61,1,1626,1,2031.86703,1,1,1
2008,ES,16211,ES53,1,209,1,344.39100,1,1,1
2008,ES,16212,ES41,1,1585,1,824.88491,1,3,1
2008,ES,16213,ES23,1,822,1,103.22358,1,3,1
2008,ES,16214,ES13,1,1554,1,344.50739,1,1,1
2008,ES,16217,ES24,1,1908,1,357.57617,1,3,1
2008,ES,16220,ES64,1,1989,1,188.24031,1,1,1
2008,ES,16222,ES21,1,704,1,4332.63656,1,1,1
2008,ES,16225,ES61,1,1606,1,1048.16992,1,3,1
2008,ES,16231,ES61,1,563,1,1669.60339,1,3,1
2008,ES,16232,ES11,1,1451,1,2724.85579,1,1,1
2008,ES,16234,ES62,1,1139,1,766.69502,1,2,1
2008,ES,16235,ES51,1,382,1,1812.39738,1,1,1
2008,ES,16236,ES52,1,512,1,653.71341,1,2,1
2008,ES,16243,ES11,1,592,1,5623.62018,1,1,1
2008,ES,16247,ES52,1,1710,1,2763.54733,1,1,1
2008,ES,16251,ES51,1,399,1,891.47361,1,2,1
2008,ES,16257,ES41,1,1457,1,244.80301,1,3,1
2008,ES,16258,ES21,1,12,1,1463.69019,1,1,1
2008,ES,16266,ES41,1,1895,1,1079.45801,1,2,1
2008,ES,16269,ES52,1,64,1,1881.36540,1,2,1
2008,ES,16272,ES41,1,1646,1,1361.10147,1,3,1
2008,ES,16273,ES42,1,1696,1,1339.82736,1,2,1
2008,ES,16274,ES21,1,700,1,745.56606,1,3,1
2008,ES,16277,ES43,1,449,1,481.09149,1,3,1
2008,ES,16282,ES61,1,109,1,1277.34492,1,3,1
2008,ES,16285,ES30,1,924,1,967.19925,1,2,1
2008,ES,16289,ES30,1,930,1,2021.48198,1,1,1
2008,ES,16290,ES51,1,301,1,2105.72514,1,1,1
2008,ES,16293,ES51,1,410,1,1686.03002,1,2,1
2008,ES,16294,ES51,1,394,1,1965.20724,1,1,1
2008,ES,16298,ES23,1,811,1,328.51653,1,2,1
2008,ES,16304,ES61,1,1597,1,1242.46756,1,3,1
2008,ES,16306,ES53,1,217,1,1120.84614,1,1,1
2008,ES,16309,ES41,1,1896,1,356.91640,1,2,1
2008,ES,16315,ES21,1,1859,1,1333.45113,1,2,1
2008,ES,16317,ES51,1,403,1,835.05895,1,1,1
2008,ES,16320,ES21,1,1870,1,1487.37454,1,2,1
2008,ES,16325,ES61,1,102,1,1257.82215,1,1,1
2008,ES,16328,ES21,1,1829,1,636.91339,1,1,1
2008,ES,16330,ES42,1,537,1,873.64759,1,3,1
2008,ES,16336,ES70,1,1378,1,1332.35414,1,1,1
2008,ES,16338,ES24,1,1899,1,1152.41804,1,3,1
2008,ES,16340,ES51,1,364,1,3686.06245,1,1,1
2008,ES,16343,ES43,1,146,1,709.71988,1,3,1
2008,ES,16346,ES70,1,1490,1,839.45757,1,1,1
2008,ES,16348,ES21,1,1867,1,1069.23318,1,1,1
2008,ES,16350,ES11,1,603,1,1750.52268,1,1,1
2008,ES,16355,ES41,1,119,1,1221.76743,1,3,1
2008,ES,16358,ES12,1,1295,1,575.89426,1,1,1
2008,ES,16361,ES42,1,34,1,477.54911,1,3,1
2008,ES,16366,ES12,1,1304,1,487.58645,1,1,1
2008,ES,16368,ES30,1,887,1,1520.29077,1,1,1
2008,ES,16374,ES43,1,145,1,429.41232,1,3,1
2008,ES,16376,ES51,1,275,1,1092.31794,1,1,1
2008,ES,16379,ES62,1,1161,1,441.65277,1,2,1
2008,ES,16380,ES52,1,1773,1,563.57806,1,1,1
2008,ES,16381,ES52,1,1762,1,677.24636,1,1,1
2008,ES,16389,ES23,1,807,1,135.42560,1,2,1
2008,ES,16390,ES53,1,222,1,265.96316,1,1,1
2008,ES,16392,ES61,1,1628,1,1405.36423,1,1,1
2008,ES,16394,ES23,1,842,1,124.72233,1,1,1
2008,ES,16396,ES12,1,1330,1,653.82074,1,1,1
2008,ES,16403,ES51,1,282,1,1483.28724,1,1,1
2008,ES,16404,ES52,1,1779,1,2739.76518,1,1,1
2008,ES,16406,ES61,1,730,1,1786.27427,1,3,1
2008,ES,16407,ES23,1,814,1,555.87522,1,3,1
2008,ES,16410,ES42,1,25,1,558.12596,1,2,1
2008,ES,16413,ES12,1,1284,1,451.85635,1,2,1
2008,ES,16414,ES53,1,239,1,92.29000,1,3,1
2008,ES,16416,ES53,1,231,1,1705.45502,1,2,1
2008,ES,16418,ES51,1,1651,1,2099.08624,1,1,1
2008,ES,16421,ES12,1,1301,1,482.87525,1,1,1
2008,ES,16426,ES51,1,643,1,2033.96340,1,3,1
2008,ES,16439,ES61,1,662,1,1652.90352,1,3,1
2008,ES,16450,ES61,1,548,1,1885.16996,1,2,1
2008,ES,16451,ES30,1,906,1,325.01367,1,1,1
2008,ES,16452,ES24,1,735,1,1449.44216,1,3,1
2008,ES,16454,ES52,1,95,1,2880.93591,1,3,1
2008,ES,16458,ES53,1,204,1,1449.17182,1,1,1
2008,ES,16459,ES51,1,311,1,2318.75011,1,2,1
2008,ES,16463,ES21,1,716,1,982.83709,1,2,1
2008,ES,16468,ES11,1,882,1,456.53493,1,3,1
2008,ES,16469,ES24,1,1939,1,1589.92857,1,1,1
2008,ES,16473,ES30,1,1010,1,1264.45593,1,1,1
2008,ES,16479,ES62,1,1149,1,3559.13285,1,3,1
2008,ES,16486,ES30,1,984,1,5074.93550,1,1,1
2008,ES,16488,ES30,1,884,1,2165.50626,1,1,1
2008,ES,16492,ES52,1,1752,1,1250.11466,1,1,1
2008,ES,16494,ES41,1,785,1,1384.54247,1,3,1
2008,ES,16498,ES41,1,778,1,881.32945,1,1,1
2008,ES,16503,ES11,1,613,1,1754.22829,1,2,1
2008,ES,16504,ES21,1,1,1,1244.56340,1,3,1
2008,ES,16506,ES42,1,517,1,965.64811,1,3,1
2008,ES,16509,ES42,1,529,1,1035.20570,1,3,1
2008,ES,16511,ES70,1,1403,1,545.53601,1,2,1
2008,ES,16514,ES62,1,1159,1,386.99373,1,2,1
